,,,,,,,,,Baseline,,Plan,,,,,2024,,,,,2025,,
#,Alert,Project / Version / Ticket,Key,Type,Assignee,Units,Priority,Status,Start,Finish,Start,Finish,Days,% Done,Due Date,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
1,,Phish Net,,Project,,,,,,,2024/08/30,2025/02/28,131,36%,,,,,,,,,
1-18,,          Stakeholder Feedback,ANEXAS-11,Task,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,6/30,,,,,,,,
1-19,,          Development - Cyber End,ANEXAS-90,Epic,Umar Waqar,100%,Medium,In Progress,,,,,0,0%,7/20,,,,,,,,
1-19-1,,                    Go Phish,ANEXAS-91,Task,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-20,,          Template #7 - Final Presentation,ANEXAS-96,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,5/10,,,,,,,,
1-21,,          Stakeholder Meetings - FYP Part-II,ANEXAS-98,Epic,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,12/18,,,,,,,,
1-1,,          Starting,ANEXAS-38,Epic,Ali Zaman Kayani,100%,Medium,Done,,,2024/08/30,2024/09/02,2,100%,2/1,,,,,,,,
1-2,,          Requirement Study ,ANEXAS-33,Epic,Ali Zaman Kayani,100%,Medium,Done,,,2024/09/02,2024/09/06,5,100%,2/6,,,,,,,,
1-10,,          Feasibility Study,ANEXAS-34,Epic,Ali Zaman Kayani,100%,Medium,Done,,,2024/09/09,2024/09/11,3,100%,2/3,,,,,,,,
1-3,,          Resource Allocation,ANEXAS-35,Epic,Ali Zaman Kayani,100%,Medium,Done,,,2024/09/12,2024/09/13,2,100%,2/7,,,,,,,,
1-4,,          Team Meeting - Role & Responsibilities,ANEXAS-36,Epic,Ali Zaman Kayani,100%,Medium,Done,,,2024/09/16,2024/09/20,5,100%,2/8,,,,,,,,
1-5,,          Stakeholder Meetings - FYP Part-I,ANEXAS-37,Epic,Ali Zaman Kayani,100%,Medium,Done,,,2024/09/23,2024/09/30,6,0%,6/30,,,,,,,,
1-5-1,,                    Template #1 - Project Supervisor,ANEXAS-41,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,2/14,,,,,,,,
1-5-2,,                    Template #2 - Initial Proposal,ANEXAS-42,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,2/21,,,,,,,,
1-5-3,,                    Template #3 - Proposal Presentation,ANEXAS-43,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,2/27,,,,,,,,
1-5-4,,                    Template #5 - Detailed Proposal,ANEXAS-44,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,3/20,,,,,,,,
1-5-5,,                    Template #6 - Final Proposal,ANEXAS-45,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,3/30,,,,,,,,
1-5-6,,                    Template #5 - Detailed Proposal - Iterations (if any),ANEXAS-46,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,3/22,,,,,,,,
1-5-7,,                    Template #4 - Updated Proposal,ANEXAS-47,Task,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,3/14,,,,,,,,
1-11,,          Development - Front End,ANEXAS-32,Epic,Umar Waqar,100%,Medium,Done,,,2024/10/01,2024/10/25,19,7%,6/30,,,,,,,,
1-11-1,,                    Registration Page ,ANEXAS-1,Task,Umar Waqar,100%,Medium,Done,,,,,0,100%,3/8,,,,,,,,
1-11-2,,                    Dashboard Functionalities ,ANEXAS-2,Task,Umar Waqar,100%,Medium,Done,,,,,0,100%,3/18,,,,,,,,
1-11-3,,                    Phishing Email Template,ANEXAS-3,Task,Umar Waqar,100%,Medium,Done,,,,,0,100%,3/30,,,,,,,,
1-11-4,,                    Login Page ,ANEXAS-48,Task,Umar Waqar,100%,Medium,Done,,,,,0,0%,3/4,,,,,,,,
1-11-5,,                    Registration Mechanism ,ANEXAS-49,Task,Umar Waqar,100%,Medium,Done,,,,,0,0%,3/8,,,,,,,,
1-11-6,,                    Dashboard Page,ANEXAS-50,Task,Umar Waqar,100%,Medium,Done,,,,,0,0%,3/12,,,,,,,,
1-11-7,,                    User Spectation ,ANEXAS-51,Task,Umar Waqar,100%,Medium,Done,,,,,0,0%,4/10,,,,,,,,
1-11-7-1,,                              User Spectation Dashboard,ANEXAS-62,Subtask,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,,,,,,,,,
1-11-7-2,,                              User Roadmap ,ANEXAS-72,Subtask,Ali Zaman Kayani,100%,Medium,Done,,,,,0,0%,8/27,,,,,,,,
1-11-7-3,,                              User Privileges ,ANEXAS-73,Subtask,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,7/25,,,,,,,,
1-11-8,,                    Education,ANEXAS-52,Task,Umar Waqar,100%,Medium,To Do,,,,,0,0%,7/31,,,,,,,,
1-11-8-1,,                              Content,ANEXAS-57,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-8-2,,                              Templates,ANEXAS-58,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-8-3,,                              Modules,ANEXAS-59,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/5,,,,,,,,
1-11-8-4,,                              Videos,ANEXAS-60,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,7/31,,,,,,,,
1-11-8-5,,                              MCQs,ANEXAS-61,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/15,,,,,,,,
1-11-9,,                    Training,ANEXAS-53,Task,Umar Waqar,100%,Medium,To Do,,,,,0,0%,7/31,,,,,,,,
1-11-9-1,,                              Phishing Simulations,ANEXAS-63,Subtask,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,,,,,,,,,
1-11-9-2,,                              Exams ,ANEXAS-64,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-9-3,,                              Tests,ANEXAS-65,Subtask,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,,,,,,,,,
1-11-9-4,,                              Videos,ANEXAS-66,Subtask,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,7/31,,,,,,,,
1-11-9-5,,                              Content,ANEXAS-67,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-9-6,,                              Templates,ANEXAS-68,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/4,,,,,,,,
1-11-9-7,,                              Modules,ANEXAS-69,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-9-8,,                              Quiz Manager,ANEXAS-70,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/29,,,,,,,,
1-11-9-9,,                              Training Manager,ANEXAS-71,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-10,,                    Testing,ANEXAS-54,Task,Umar Waqar,100%,Medium,To Do,,,,,0,0%,7/31,,,,,,,,
1-11-10-1,,                              Phishing Simulations ,ANEXAS-74,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/17,,,,,,,,
1-11-10-2,,                              Phishing Templates,ANEXAS-75,Subtask,Ali Zaman Kayani,100%,Medium,In Progress,,,,,0,0%,8/21,,,,,,,,
1-11-10-3,,                              Modules,ANEXAS-76,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-10-4,,                              Records,ANEXAS-77,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/31,,,,,,,,
1-11-11,,                    User Account,ANEXAS-55,Task,Umar Waqar,100%,Medium,Done,,,,,0,0%,5/30,,,,,,,,
1-11-11-1,,                              Testings ,ANEXAS-78,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-11-2,,                              Trainings,ANEXAS-79,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-11-3,,                              Education,ANEXAS-80,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-11-4,,                              Courses,ANEXAS-81,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
1-11-11-5,,                              Certificates,ANEXAS-82,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,8/19,,,,,,,,
1-11-11-6,,                              Privileges,ANEXAS-83,Subtask,Ali Zaman Kayani,100%,Medium,To Do,,,,,0,0%,,,,,,,,,
